Date,Open,High,Low,Close,Adj Close,Volume
2017-02-20,15.780000,15.780000,15.540000,15.620000,14.668882,1030456
2017-02-21,15.620000,15.960000,15.620000,15.880000,14.913050,2087923
2017-02-22,16.280001,16.290001,15.700000,15.800000,14.837923,1972166
2017-02-23,15.850000,16.110001,15.810000,16.049999,15.072699,2169055
2017-02-24,16.040001,16.100000,15.865000,15.870000,14.903659,1344011
2017-02-27,15.950000,16.790001,15.890000,16.680000,15.664336,3349488
2017-02-28,16.879999,17.000000,16.520000,16.600000,15.589209,3328657
2017-03-01,16.590000,16.730000,16.549999,16.730000,15.711293,2986834
2017-03-02,16.930000,17.040001,16.760000,16.900000,15.870942,2393376
2017-03-03,16.900000,17.000000,16.820000,16.950001,15.917897,1608036
2017-03-06,17.000000,17.170000,16.950001,16.990000,15.955460,2208017
2017-03-07,16.799999,17.129999,16.799999,17.010000,15.974242,5844167
2017-03-08,17.000000,17.049999,16.879999,17.040001,16.002417,1198597
2017-03-09,17.040001,17.389999,16.959999,17.200001,16.152676,1506971
2017-03-10,17.500000,17.750000,17.389999,17.450001,16.387453,2639776
2017-03-13,17.490000,17.650000,17.240000,17.340000,16.284147,1719198
2017-03-14,17.330000,17.549999,17.260000,17.330000,16.274761,2452260
2017-03-15,17.250000,17.430000,17.219999,17.360001,16.302931,1811468
2017-03-16,17.280001,17.580000,17.280001,17.520000,16.453192,3471817
2017-03-17,17.549999,17.549999,17.330000,17.330000,16.274761,5005980
2017-03-20,17.200001,17.459999,17.200001,17.280001,16.227804,1074870
2017-03-21,17.350000,17.670000,17.299999,17.580000,16.509533,2083287
2017-03-22,17.400000,17.430000,17.240000,17.250000,16.199631,1090062
2017-03-23,17.400000,17.525000,17.250000,17.510000,16.443800,1776446
2017-03-24,17.650000,17.750000,17.450001,17.719999,16.641010,1689808
2017-03-27,17.600000,17.709999,17.490000,17.670000,16.594053,1744985
2017-03-28,17.719999,17.910000,17.690001,17.750000,16.669184,2506786
2017-03-29,17.510000,17.870001,17.510000,17.870001,16.781878,2026151
2017-03-30,17.900000,18.040001,17.809999,18.020000,16.922747,2258868
2017-03-31,18.000000,18.100000,17.900000,17.969999,16.875790,1343728
2017-04-03,18.059999,18.120001,17.900000,18.120001,17.016655,1622859
2017-04-04,18.389999,18.510000,18.020000,18.200001,17.091785,1803450
2017-04-05,18.299999,18.299999,17.870001,18.260000,17.148130,3319406
2017-04-06,18.290001,18.440001,18.230000,18.440001,17.317171,3924302
2017-04-07,18.549999,18.910000,18.500000,18.860001,17.711597,3233570
2017-04-10,18.900000,19.070000,18.889999,19.000000,17.843069,2582133
2017-04-11,18.990000,19.250000,18.930000,19.250000,18.077850,2059625
2017-04-12,19.430000,19.540001,19.070000,19.139999,17.974545,2667964
2017-04-13,19.160000,19.480000,19.129999,19.400000,18.218714,1858850
2017-04-18,19.450001,19.450001,18.990000,19.010000,17.852463,3585359
2017-04-19,18.799999,19.040001,18.305000,19.000000,17.843069,3028315
2017-04-20,19.020000,19.040001,18.629999,18.870001,17.720987,3279247
2017-04-21,18.959999,19.230000,18.930000,19.150000,17.983934,1527528
2017-04-24,19.299999,19.340000,18.959999,19.299999,18.124804,1164394
2017-04-26,19.879999,19.879999,19.370001,19.459999,18.275059,2056842
2017-04-27,19.500000,19.660000,19.410000,19.480000,18.293840,1680989
2017-04-28,19.660000,19.719999,19.480000,19.639999,18.444101,2392759
2017-05-01,19.690001,20.030001,19.639999,20.030001,18.810352,1821311
2017-05-02,20.139999,20.440001,19.940001,19.990000,18.772789,2856003
2017-05-03,20.000000,20.450001,19.990000,20.180000,18.951220,2001813
2017-05-04,20.230000,20.420000,20.145000,20.400000,19.157822,2039861
2017-05-05,20.610001,21.120001,20.139999,20.150000,18.923048,7703182
2017-05-08,20.400000,20.400000,20.120001,20.120001,18.894875,2833700
2017-05-09,20.160000,20.240000,20.049999,20.080000,18.857307,2113504
2017-05-10,20.230000,20.520000,20.120001,20.480000,19.232952,1972385
2017-05-11,20.510000,20.520000,20.180000,20.480000,19.232952,2590688
2017-05-12,20.350000,20.480000,19.750000,19.750000,18.547401,2471330
2017-05-15,19.680000,20.070000,19.639999,19.969999,18.754005,2221636
2017-05-16,20.090000,20.280001,20.049999,20.190001,18.960611,1641259
2017-05-17,20.180000,20.299999,19.920000,19.950001,18.735224,1579932
2017-05-18,19.730000,19.985001,19.639999,19.879999,18.669483,1974066
2017-05-19,19.830000,20.200001,19.760000,20.200001,18.970001,1346924
2017-05-22,20.250000,20.350000,20.090000,20.139999,18.913654,936968
2017-05-23,20.250000,20.549999,20.170000,20.250000,19.016954,5560529
2017-05-24,20.299999,20.575001,20.120001,20.240000,19.007566,1561306
2017-05-25,20.600000,21.070000,20.200001,21.040001,19.758854,2871311
2017-05-26,21.299999,21.780001,21.160000,21.270000,19.974846,2871344
2017-05-29,21.350000,21.620001,21.200001,21.240000,19.946676,3107990
2017-05-30,21.190001,21.250000,20.969999,21.010000,19.861065,1578679
