Date,Open,High,Low,Close,Adj Close,Volume
2017-02-20,30.879999,31.180000,30.830000,30.879999,23.929581,5777942
2017-02-21,30.730000,30.740000,30.475000,30.620001,23.728104,8211229
2017-02-22,30.900000,30.900000,30.750000,30.809999,23.875338,6045721
2017-02-23,30.809999,31.200001,30.770000,31.170000,24.154308,6498673
2017-02-24,31.080000,31.260000,30.820000,30.959999,23.991575,8757410
2017-02-27,30.820000,31.040001,30.660000,30.879999,23.929581,4428144
2017-02-28,31.000000,31.350000,30.850000,30.900000,23.945080,8653448
2017-03-01,30.799999,31.219999,30.670000,31.040001,24.053572,5592766
2017-03-02,31.500000,31.570000,31.270000,31.350000,24.293795,4658245
2017-03-03,31.240000,31.240000,30.950001,31.170000,24.154308,4069633
2017-03-06,31.139999,31.270000,30.969999,31.230000,24.200808,2380943
2017-03-07,31.150000,31.480000,31.000000,31.389999,24.324791,4537841
2017-03-08,31.389999,31.620001,31.250000,31.600000,24.487526,4280214
2017-03-09,31.620001,31.900000,31.500000,31.629999,24.510773,3654531
2017-03-10,31.799999,31.990000,31.650000,31.950001,24.758751,4288642
2017-03-13,31.850000,31.940001,31.650000,31.889999,24.712252,3756111
2017-03-14,31.950001,32.040001,31.740000,31.889999,24.712252,4567170
2017-03-15,31.889999,32.049999,31.559999,32.049999,24.836237,4686381
2017-03-16,31.910000,31.969999,31.370001,31.530001,24.433277,10925731
2017-03-17,31.600000,31.830000,31.400000,31.580000,24.472025,8268179
2017-03-20,31.350000,31.680000,31.309999,31.410000,24.340292,2837319
2017-03-21,31.309999,31.610001,31.180000,31.570000,24.464277,4188592
2017-03-22,31.110001,31.150000,30.740000,30.760000,23.836590,6695094
2017-03-23,30.750000,30.860001,30.650000,30.770000,23.844341,5525283
2017-03-24,30.770000,31.410000,30.695000,31.360001,24.301542,5138322
2017-03-27,31.000000,31.549999,30.950001,31.450001,24.371290,4677207
2017-03-28,31.500000,31.990000,31.490000,31.940001,24.750998,5598634
2017-03-29,31.990000,32.419998,31.959999,32.299999,25.029970,8420912
2017-03-30,32.310001,32.439999,32.160000,32.270000,25.006723,5677622
2017-03-31,32.200001,32.259998,31.820000,31.820000,24.658009,11649128
2017-04-03,31.719999,32.020000,31.510000,31.969999,24.774248,3936289
2017-04-04,31.940001,32.044998,31.750000,31.830000,24.665756,3101970
2017-04-05,32.029999,32.049999,31.549999,31.680000,24.549520,5360149
2017-04-06,31.510000,31.580000,31.250000,31.360001,24.301542,5277935
2017-04-07,31.549999,31.629999,31.190001,31.410000,24.340292,3479318
2017-04-10,31.530001,31.790001,31.500000,31.700001,24.565020,3927782
2017-04-11,31.600000,32.029999,31.559999,31.809999,24.650261,4815694
2017-04-12,32.099998,32.169998,31.950001,32.130001,24.898233,6346092
2017-04-13,32.130001,32.130001,31.830000,31.900000,24.720003,3322476
2017-04-18,32.009998,32.070000,31.400000,31.660000,24.534019,6527445
2017-04-19,31.400000,31.500000,31.160000,31.160000,24.146559,7184745
2017-04-20,31.250000,31.575001,31.240000,31.540001,24.441032,5307276
2017-04-21,31.750000,31.930000,31.750000,31.809999,24.650261,3892652
2017-04-24,32.000000,32.130001,31.830000,31.980000,24.781996,2946608
2017-04-26,32.150002,32.470001,32.139999,32.400002,25.107464,6275776
2017-04-27,32.400002,32.669998,32.320000,32.660000,25.308943,5089876
2017-04-28,32.650002,32.840000,32.509998,32.759998,25.386435,9752602
2017-05-01,32.750000,32.950001,32.520000,32.950001,25.533669,4472940
2017-05-02,32.150002,32.380001,31.969999,32.250000,24.991224,10325228
2017-05-03,32.099998,32.200001,31.280001,31.350000,24.293795,10407875
2017-05-04,31.440001,31.480000,30.660000,30.830000,23.890835,10630957
2017-05-05,30.900000,31.280001,30.580000,30.650000,23.751350,10905998
2017-05-08,30.219999,30.240000,29.870001,29.950001,23.830917,11186198
2017-05-09,29.799999,29.879999,29.070000,29.160000,23.202324,11862914
2017-05-10,28.540001,29.700001,28.500000,29.389999,23.385330,14007137
2017-05-11,29.400000,29.830000,29.120001,29.299999,23.313719,9466050
2017-05-12,29.280001,29.459999,28.920000,29.219999,23.250063,6752054
2017-05-15,29.000000,29.495001,28.950001,29.410000,23.401247,7444541
2017-05-16,29.540001,29.709999,29.340000,29.540001,23.504683,6369944
2017-05-17,29.440001,29.469999,28.980000,29.160000,23.202324,5865425
2017-05-18,28.760000,29.049999,28.629999,29.049999,23.114796,7243468
2017-05-19,29.030001,29.030001,28.400000,28.500000,22.677170,7852570
2017-05-22,28.660000,28.700001,28.080000,28.389999,22.589643,10273546
2017-05-23,28.360001,28.620001,28.219999,28.309999,22.525986,7894389
2017-05-24,28.320000,28.379999,28.129999,28.280001,22.502115,6302432
2017-05-25,28.280001,28.650000,27.940001,28.639999,22.788565,6572950
2017-05-26,28.420000,28.469999,28.209999,28.219999,22.454374,7028841
2017-05-29,28.200001,28.209999,27.684999,27.690001,22.032658,5840950
2017-05-30,27.620001,27.969999,27.520000,27.900000,22.199755,6055889
2017-05-31,27.900000,28.219999,27.799999,28.010000,22.287277,10344455
2017-06-01,28.010000,28.280001,27.799999,27.950001,22.239538,6571831
2017-06-02,28.049999,28.410000,28.020000,28.280001,22.502115,5293128
2017-06-05,28.100000,28.115000,27.530001,27.809999,22.128139,7419742
2017-06-06,27.700001,27.740000,27.330000,27.360001,21.770082,8989498
2017-06-07,27.420000,27.709999,27.184999,27.540001,21.913303,11129153
2017-06-08,27.400000,27.889999,27.360001,27.850000,22.159969,5963741
2017-06-09,27.850000,27.879999,27.610001,27.709999,22.048571,4095580
2017-06-13,27.930000,28.389999,27.879999,28.389999,22.589643,7106940
2017-06-14,28.379999,28.680000,28.360001,28.620001,22.772650,8869862
2017-06-15,28.200001,28.400000,27.910000,28.000000,22.279324,21210429
2017-06-16,28.000000,28.320000,28.000000,28.120001,22.374807,5788933
2017-06-19,28.120001,28.410000,28.100000,28.379999,22.581684,2998647
2017-06-20,28.490000,28.490000,28.000000,28.000000,22.279324,5928573
2017-06-21,27.840000,27.885000,27.410000,27.500000,21.881475,7508922
2017-06-22,27.510000,27.990000,27.490000,27.840000,22.152010,5013021
2017-06-23,27.790001,27.790001,27.459999,27.680000,22.024702,5550348
2017-06-26,27.620001,27.840000,27.530001,27.760000,22.088356,4137001
2017-06-27,27.809999,28.030001,27.760000,28.030001,22.303190,5934956
2017-06-28,27.870001,28.350000,27.830000,28.350000,22.557816,6211258
2017-06-29,28.680000,29.055000,28.639999,29.020000,23.090925,7485910
2017-06-30,28.680000,28.870001,28.540001,28.719999,22.852221,11627472
2017-07-03,28.709999,28.889999,28.590000,28.650000,22.796520,3884922
2017-07-04,28.879999,29.410000,28.879999,29.290001,23.305763,6722734
2017-07-05,29.290001,29.320000,29.014999,29.150000,23.194366,3601586
2017-07-06,29.200001,29.250000,28.910000,28.990000,23.067059,4088751
2017-07-07,28.700001,28.780001,28.420000,28.620001,22.772650,7477289
2017-07-10,28.850000,28.910000,28.700001,28.740000,22.868134,4664976
2017-07-11,28.830000,28.990000,28.540001,28.850000,22.955656,3981820
