"Date","Price","Open","High","Low","Change %"
"Feb 19, 2022","2.184","2.184","2.184","2.184","0.00%"
"Feb 18, 2022","2.184","2.170","2.246","2.148","-2.46%"
"Feb 17, 2022","2.239","2.213","2.250","2.212","0.18%"
"Feb 16, 2022","2.235","2.240","2.257","2.219","3.00%"
"Feb 15, 2022","2.170","2.181","2.220","2.170","1.97%"
"Feb 14, 2022","2.128","2.086","2.136","2.066","1.33%"
"Feb 12, 2022","2.100","2.100","2.100","2.100","-3.45%"
"Feb 11, 2022","2.175","2.208","2.219","2.141","4.57%"
"Feb 10, 2022","2.080","2.103","2.113","2.077","-0.48%"
"Feb 09, 2022","2.090","2.118","2.157","2.082","0.43%"
"Feb 08, 2022","2.081","2.014","2.083","2.014","4.73%"
"Feb 07, 2022","1.987","2.015","2.057","1.986","-1.73%"
"Feb 06, 2022","2.022","2.015","2.057","1.997","0.50%"
"Feb 05, 2022","2.012","2.012","2.012","2.012","3.29%"
"Feb 04, 2022","1.948","1.901","1.950","1.901","4.67%"
"Feb 03, 2022","1.861","1.887","1.889","1.844","-2.62%"
"Feb 02, 2022","1.911","1.925","1.939","1.906","0.05%"
"Feb 01, 2022","1.910","1.907","1.942","1.892","-0.10%"
"Jan 31, 2022","1.912","1.919","1.962","1.893","0.90%"
"Jan 30, 2022","1.895","1.919","1.962","1.895","-1.04%"
"Jan 29, 2022","1.915","1.935","1.935","1.915","-1.85%"
"Jan 28, 2022","1.951","1.964","1.967","1.940","-3.80%"
"Jan 27, 2022","2.028","2.016","2.051","2.008","2.74%"
"Jan 26, 2022","1.974","1.903","1.981","1.903","0.82%"
"Jan 25, 2022","1.958","1.903","1.962","1.903","1.66%"
"Jan 24, 2022","1.926","1.881","1.930","1.849","1.53%"
"Jan 23, 2022","1.897","1.881","1.897","1.849","0.90%"
"Jan 22, 2022","1.880","1.880","1.880","1.880","-0.69%"
"Jan 21, 2022","1.893","1.959","1.998","1.892","-4.78%"
"Jan 20, 2022","1.988","1.959","2.003","1.959","-0.50%"
"Jan 19, 2022","1.998","1.985","2.013","1.977","3.68%"
"Jan 18, 2022","1.927","1.902","1.929","1.882","0.89%"
"Jan 17, 2022","1.910","1.871","1.921","1.871","0.90%"
"Jan 16, 2022","1.893","1.871","1.902","1.871","1.18%"
"Jan 15, 2022","1.871","1.871","1.871","1.871","1.35%"
"Jan 14, 2022","1.846","1.810","1.866","1.804","0.00%"
"Jan 13, 2022","1.846","1.841","1.866","1.836","0.00%"
"Jan 12, 2022","1.846","1.864","1.875","1.830","-1.81%"
"Jan 11, 2022","1.880","1.884","1.903","1.861","-1.57%"
"Jan 10, 2022","1.910","1.874","1.915","1.863","1.70%"
"Jan 09, 2022","1.878","1.874","1.882","1.863","0.21%"
"Jan 08, 2022","1.874","1.874","1.874","1.874","2.13%"
"Jan 07, 2022","1.835","1.845","1.857","1.820","-0.38%"
"Jan 06, 2022","1.842","1.819","1.843","1.795","4.72%"
"Jan 05, 2022","1.759","1.752","1.773","1.717","0.92%"
"Jan 04, 2022","1.743","1.651","1.807","1.643","-1.91%"
"Jan 03, 2022","1.777","1.670","1.790","1.643","6.41%"
"Jan 02, 2022","1.670","1.670","1.670","1.670","0.00%"
"Jan 01, 2022","1.670","1.670","1.670","1.670","-0.36%"
"Dec 31, 2021","1.676","1.621","1.677","1.602","3.39%"
"Dec 30, 2021","1.621","1.607","1.638","1.576","4.92%"
"Dec 29, 2021","1.545","1.587","1.616","1.541","-2.22%"
"Dec 28, 2021","1.580","1.587","1.616","1.578","-0.88%"
