Date,Open,High,Low,Close,Adj Close,Volume
2017-02-20,26.450001,26.610001,26.334999,26.469999,19.130474,5658087
2017-02-21,26.600000,26.920000,26.520000,26.730000,19.318386,6226696
2017-02-22,26.730000,26.770000,26.400000,26.549999,19.188292,6254410
2017-02-23,25.889999,25.975000,25.760000,25.840000,18.675163,10681642
2017-02-24,25.330000,25.389999,24.959999,25.059999,18.111437,15061558
2017-02-27,24.809999,25.139999,24.770000,24.990000,18.060848,12386168
2017-02-28,25.200001,25.389999,25.000000,25.000000,18.068075,11820790
2017-03-01,24.620001,24.889999,24.584999,24.879999,17.981346,11587485
2017-03-02,25.500000,25.780001,25.420000,25.700001,18.573982,9234982
2017-03-03,25.309999,25.549999,25.190001,25.340000,18.313799,9452142
2017-03-06,25.600000,25.770000,25.540001,25.750000,18.610119,5329600
2017-03-07,25.350000,25.680000,25.309999,25.500000,18.429434,8622198
2017-03-08,25.250000,25.379999,25.129999,25.230000,18.234299,7114038
2017-03-09,24.100000,24.309999,23.889999,23.959999,17.689281,14669946
2017-03-10,23.700001,23.879999,23.545000,23.670000,17.475180,10166002
2017-03-13,23.670000,23.670000,23.400000,23.650000,17.460413,6678365
2017-03-14,24.000000,24.150000,23.790001,23.870001,17.622837,6719024
2017-03-15,24.000000,24.260000,23.900000,24.219999,17.881233,6098290
2017-03-16,24.639999,25.129999,24.629999,25.120001,18.545692,17224046
2017-03-17,24.860001,25.080000,24.809999,24.840000,18.338970,9142686
2017-03-20,24.730000,24.910000,24.709999,24.879999,18.368502,3952921
2017-03-21,24.879999,24.959999,24.570000,24.639999,18.191311,4809949
2017-03-22,23.950001,24.150000,23.920000,23.920000,17.659750,9481912
2017-03-23,24.250000,24.340000,24.120001,24.190001,17.859083,6404093
2017-03-24,24.010000,24.420000,24.000000,24.260000,17.910767,5226294
2017-03-27,23.719999,23.730000,23.469999,23.549999,17.386585,8846326
2017-03-28,23.600000,23.990000,23.590000,23.900000,17.644981,9044413
2017-03-29,24.000000,24.160000,23.920000,23.969999,17.696661,8044873
2017-03-30,24.150000,24.330000,23.995001,24.070000,17.770493,7291011
2017-03-31,24.110001,24.230000,23.920000,24.040001,17.748341,11568699
2017-04-03,23.850000,24.030001,23.650000,24.000000,17.718815,5902712
2017-04-04,23.900000,24.139999,23.790001,23.920000,17.659750,5029378
2017-04-05,24.330000,24.780001,24.330000,24.750000,18.272524,9679364
2017-04-06,24.570000,24.719999,24.469999,24.670000,18.213463,6264960
2017-04-07,24.559999,24.780001,24.420000,24.590000,18.154400,7923310
2017-04-10,24.650000,25.790001,24.629999,25.730000,18.996044,11809376
2017-04-11,25.350000,25.535000,25.120001,25.410000,18.759794,9267700
2017-04-12,25.559999,25.639999,25.065001,25.320000,18.693346,8894527
2017-04-13,24.400000,24.469999,24.209999,24.309999,17.947678,10715182
