Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.317775,8.317775,8.317775,8.317775,3.598321,0
2000-01-04,8.317359,8.620943,8.317359,8.608466,3.724076,9525499
2000-01-05,8.404691,8.462913,8.300724,8.408018,3.637361,8727404
2000-01-06,8.425485,8.566880,8.425485,8.462913,3.661108,7274950
2000-01-07,8.487449,8.941161,8.483706,8.880860,3.841915,15832421
2000-01-10,8.899574,9.153254,8.795607,8.949478,3.871598,12044704
2000-01-11,8.862978,8.878781,8.633419,8.691640,3.760056,12222239
2000-01-12,8.525293,8.629260,8.462913,8.519887,3.685755,6259462
2000-01-13,8.299477,8.608466,8.292407,8.482874,3.669744,11164168
2000-01-14,8.483706,8.583514,8.342311,8.528204,3.689353,7931625
2000-01-17,8.512817,8.521134,8.358946,8.440872,3.651574,5132951
2000-01-18,8.317359,8.400532,8.300724,8.317359,3.598140,6174570
2000-01-19,8.317359,8.317359,8.113584,8.140199,3.521499,4843974
2000-01-20,8.321102,8.421326,8.279931,8.355203,3.614512,15713152
2000-01-21,8.277020,8.277020,8.084473,8.143110,3.522759,5395565
2000-01-24,8.113168,8.192599,8.047045,8.063679,3.488397,4757007
2000-01-25,7.904402,8.083225,7.901491,8.083225,3.496853,7641817
2000-01-26,null,null,null,null,null,null
2000-01-27,8.008785,8.067838,7.913967,7.984665,3.454215,10660200
2000-01-28,7.943078,8.013775,7.859904,7.901491,3.418234,15926763
2000-01-31,7.782553,7.822476,7.685240,7.795445,3.372357,8589276
2000-02-01,7.827466,7.839111,7.672764,7.676090,3.320723,6899742
2000-02-02,7.672764,7.943078,7.672764,7.776731,3.364262,9278144
2000-02-03,7.789622,7.880698,7.556321,7.693557,3.328280,10744960
2000-02-04,7.693557,7.797524,7.610383,7.618701,3.295896,8072963
2000-02-07,7.572123,7.880698,7.568797,7.819981,3.382972,6800177
2000-02-08,7.776731,7.922284,7.776731,7.901491,3.418234,5320895
2000-02-09,7.901491,7.901491,7.610383,7.631177,3.301294,7088980
2000-02-10,7.527210,7.527210,7.277689,7.312206,3.163305,22098314
2000-02-11,7.350050,7.402449,7.277689,7.290165,3.153770,11224427
2000-02-14,7.237766,7.277689,7.098866,7.119659,3.080008,12149697
2000-02-15,7.155840,7.423243,7.148770,7.402449,3.202345,7684561
2000-02-16,7.530537,7.610383,7.053120,7.111342,3.076410,11781614
2000-02-17,7.197426,7.215309,7.032327,7.074330,3.060399,15873405
2000-02-18,6.986581,7.007375,6.799441,6.903408,2.986457,12319354
2000-02-21,6.808174,7.127977,6.808174,7.090548,3.067415,5465222
2000-02-22,7.126313,7.152929,6.882614,6.989908,3.023878,8149586
2000-02-23,7.007375,7.069755,6.799441,6.799441,2.941480,7467235
2000-02-24,6.820234,7.019851,6.820234,7.003216,3.029633,7881667
2000-02-25,7.059358,7.103024,6.861821,6.967867,3.014343,13769430
2000-02-28,6.965788,6.965788,6.624776,6.703791,2.900101,7606267
2000-02-29,6.770330,6.770330,6.587348,6.692147,2.895064,9841267
2000-03-01,6.691315,6.861821,6.674680,6.737061,2.914494,10613577
2000-03-02,6.757854,6.920043,6.757854,6.820234,2.950474,11764418
2000-03-03,6.969947,6.974105,6.799441,6.799441,2.941480,10351095
2000-03-06,6.970778,6.970778,6.565307,6.565307,2.840192,6109458
2000-03-07,6.520809,6.861821,6.487540,6.861821,2.968465,10624732
2000-03-08,6.861821,6.903408,6.662204,6.682998,2.891107,10729054
2000-03-09,6.720010,7.082231,6.695474,7.048962,3.049424,6905215
2000-03-10,7.111342,7.256896,7.111342,7.164573,3.099439,7917296
2000-03-13,7.097202,7.236102,7.073914,7.215309,3.121387,4572855
2000-03-14,7.152929,7.498099,7.152929,7.444036,3.220336,12373181
2000-03-15,7.427401,7.427401,7.194515,7.341733,3.176079,13591631
