Date,Open,High,Low,Close,Adj Close,Volume
2017-02-20,6.940000,7.010000,6.920000,6.980000,4.046803,13349360
2017-02-21,7.020000,7.190000,7.000000,7.170000,4.156959,23866308
2017-02-22,7.200000,7.270000,6.910000,6.980000,4.046803,23777115
2017-02-23,7.000000,7.010000,6.790000,6.800000,3.942444,23696349
2017-02-24,6.660000,6.690000,6.560000,6.570000,3.809096,22678090
2017-02-27,6.620000,6.745000,6.480000,6.660000,3.861275,28098789
2017-02-28,6.770000,6.795000,6.630000,6.630000,3.843883,20733951
2017-03-01,6.560000,6.695000,6.530000,6.600000,3.826489,21004591
2017-03-02,6.640000,6.700000,6.550000,6.620000,3.958025,18176072
2017-03-03,6.360000,6.430000,6.235000,6.280000,3.754743,20699631
2017-03-06,6.390000,6.500000,6.380000,6.470000,3.868341,18770489
2017-03-07,6.430000,6.585000,6.370000,6.540000,3.910194,20746249
2017-03-08,6.440000,6.500000,6.380000,6.500000,3.886278,13400583
2017-03-09,6.360000,6.400000,6.240000,6.250000,3.736806,23082699
2017-03-10,6.290000,6.340000,6.110000,6.110000,3.653101,22115110
2017-03-13,6.020000,6.245000,5.990000,6.150000,3.677017,26302353
2017-03-14,6.330000,6.370000,6.190000,6.190000,3.700932,19779154
2017-03-15,6.320000,6.590000,6.300000,6.540000,3.910194,27287854
2017-03-16,6.800000,6.830000,6.690000,6.830000,4.083582,41156348
2017-03-17,6.810000,6.820000,6.690000,6.700000,4.005856,25226785
2017-03-20,6.670000,6.760000,6.670000,6.700000,4.005856,9688878
2017-03-21,6.670000,6.740000,6.550000,6.620000,3.958025,27201726
2017-03-22,6.250000,6.350000,6.150000,6.270000,3.748764,24301081
2017-03-23,6.340000,6.410000,6.250000,6.260000,3.742785,13925841
2017-03-24,6.320000,6.370000,6.215000,6.260000,3.742785,13038616
2017-03-27,6.150000,6.180000,6.040000,6.070000,3.629186,16985449
2017-03-28,6.080000,6.210000,6.080000,6.150000,3.677017,15102283
2017-03-29,6.260000,6.280000,6.120000,6.170000,3.688975,16478474
2017-03-30,6.260000,6.310000,6.180000,6.210000,3.712891,26097706
2017-03-31,6.270000,6.290000,6.210000,6.230000,3.724848,12897713
2017-04-03,6.190000,6.340000,6.110000,6.200000,3.706911,15174405
2017-04-04,6.170000,6.210000,6.060000,6.100000,3.647123,11753319
2017-04-05,6.260000,6.420000,6.220000,6.420000,3.838447,31530318
2017-04-06,6.350000,6.370000,6.280000,6.300000,3.766700,14211329
2017-04-07,6.190000,6.220000,6.050000,6.110000,3.653101,18952769
2017-04-10,6.050000,6.185000,6.015000,6.100000,3.647123,20649637
2017-04-11,6.070000,6.080000,5.960000,6.010000,3.593313,23498572
2017-04-12,5.990000,6.010000,5.820000,5.900000,3.527545,17066696
2017-04-13,5.500000,5.570000,5.420000,5.500000,3.288389,33115059
2017-04-18,5.350000,5.410000,5.050000,5.090000,3.043255,49582605
2017-04-19,5.040000,5.310000,4.995000,5.240000,3.132938,30225252
2017-04-20,5.200000,5.370000,5.160000,5.180000,3.097065,27857851
2017-04-21,5.360000,5.480000,5.340000,5.450000,3.258495,22105481
2017-04-24,5.510000,5.510000,5.250000,5.310000,3.174790,15072616
2017-04-26,5.360000,5.390000,5.250000,5.380000,3.216643,17753463
2017-04-27,5.350000,5.380000,5.195000,5.210000,3.115001,16800437
2017-04-28,5.060000,5.380000,5.040000,5.310000,3.174790,28636996
2017-05-01,5.260000,5.330000,5.160000,5.250000,3.138916,13088483
2017-05-02,5.250000,5.350000,5.230000,5.270000,3.150875,18140460
2017-05-03,5.310000,5.310000,5.180000,5.220000,3.120980,10633788
2017-05-04,5.070000,5.085000,4.950000,4.970000,2.971508,19973673
2017-05-05,4.900000,4.950000,4.800000,4.820000,2.881825,29105432
2017-05-08,5.000000,5.060000,4.830000,4.890000,2.923677,30940411
2017-05-09,4.800000,4.910000,4.750000,4.880000,2.917698,21040551
2017-05-10,4.920000,5.170000,4.915000,5.130000,3.067171,26605077
2017-05-11,5.100000,5.110000,4.830000,4.870000,2.911719,25796822
2017-05-12,4.870000,4.925000,4.740000,4.740000,2.833993,22404072
2017-05-15,4.790000,4.795000,4.660000,4.710000,2.816057,26707825
2017-05-16,4.800000,4.895000,4.780000,4.820000,2.881825,24292880
2017-05-17,4.920000,5.050000,4.890000,5.020000,3.001403,27022639
2017-05-18,4.950000,5.010000,4.880000,4.960000,2.965529,17665242
2017-05-19,5.000000,5.260000,4.960000,5.240000,3.132938,25379173
2017-05-22,5.350000,5.495000,5.350000,5.370000,3.210663,27839566
2017-05-23,5.370000,5.390000,5.210000,5.260000,3.144896,15476498
2017-05-24,5.190000,5.220000,4.950000,5.010000,2.995424,23091350
2017-05-25,4.990000,5.095000,4.960000,5.080000,3.037276,18033539
2017-05-26,4.980000,5.000000,4.790000,4.850000,2.899761,31639452
2017-05-29,4.760000,4.810000,4.700000,4.700000,2.810078,20737459
2017-05-30,4.730000,4.825000,4.710000,4.790000,2.863888,12406105
2017-05-31,4.840000,4.875000,4.730000,4.850000,2.899761,30461419
2017-06-01,4.780000,4.780000,4.630000,4.670000,2.792141,29856499
2017-06-02,4.710000,4.810000,4.700000,4.750000,2.839972,19203975
