Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,151.437500,151.718750,150.593750,151.312500,151.312500,296069
2017-02-22,151.218750,152.187500,150.750000,151.375000,151.375000,509220
2017-02-23,151.406250,152.062500,151.250000,151.812500,151.812500,481140
2017-02-24,152.031250,153.375000,151.875000,153.218750,153.218750,496018
2017-02-27,153.281250,153.281250,152.531250,152.625000,152.625000,326593
2017-02-28,152.718750,153.343750,152.250000,152.937500,152.937500,75804
2017-03-01,152.281250,152.343750,150.500000,150.687500,150.687500,27974
2017-03-02,150.937500,150.937500,150.000000,150.343750,150.343750,8517
2017-03-03,150.500000,150.781250,149.968750,150.500000,150.500000,5012
2017-03-06,150.468750,151.125000,150.093750,150.312500,150.312500,4306
2017-03-07,150.218750,150.406250,149.906250,150.093750,150.093750,1972
2017-03-08,149.968750,150.125000,148.593750,149.156250,149.156250,2240
2017-03-09,149.125000,149.125000,147.843750,148.062500,148.062500,1072
2017-03-10,147.843750,148.218750,147.718750,148.062500,148.062500,1415
2017-03-13,148.312500,148.500000,147.218750,147.625000,147.625000,1938
2017-03-14,147.500000,148.187500,147.250000,148.125000,148.125000,2338
2017-03-15,148.062500,149.656250,148.062500,149.625000,149.625000,532
2017-03-16,149.781250,149.781250,148.968750,149.250000,149.250000,696
2017-03-17,148.937500,149.875000,148.937500,149.750000,149.750000,757
2017-03-20,150.250000,150.406250,149.562500,150.343750,150.343750,109
2017-03-21,150.125000,151.468750,150.125000,151.281250,151.281250,201
2017-03-22,151.718750,152.437500,151.718750,151.968750,151.968750,314203
2017-03-23,150.656250,151.062500,150.093750,150.531250,150.531250,258848
2017-03-24,150.500000,151.187500,150.187500,151.093750,151.093750,201933
2017-03-27,150.906250,152.093750,150.843750,151.468750,151.468750,205626
2017-03-28,151.343750,151.875000,150.437500,150.781250,150.781250,242665
2017-03-29,150.531250,151.406250,150.375000,151.218750,151.218750,214048
2017-03-30,151.281250,151.500000,150.343750,150.531250,150.531250,198671
2017-03-31,150.437500,151.000000,150.156250,150.843750,150.843750,263198
2017-04-03,150.968750,152.375000,150.656250,151.750000,151.750000,305800
2017-04-04,152.312500,152.406250,151.468750,151.656250,151.656250,222698
2017-04-05,151.562500,152.093750,150.843750,151.500000,151.500000,290304
2017-04-06,151.875000,152.000000,151.093750,151.718750,151.718750,204791
2017-04-07,151.750000,153.125000,151.218750,151.500000,151.500000,359236
2017-04-10,151.375000,152.093750,151.093750,151.781250,151.781250,190561
2017-04-11,151.687500,153.125000,151.687500,152.968750,152.968750,262426
2017-04-12,152.968750,153.906250,152.687500,153.000000,153.000000,266250
2017-04-13,153.906250,154.312500,153.343750,154.000000,154.000000,237671
2017-04-17,154.187500,154.468750,153.312500,153.468750,153.468750,142029
2017-04-18,153.562500,155.500000,153.468750,155.156250,155.156250,302735
2017-04-19,155.281250,155.312500,154.312500,154.750000,154.750000,208437
2017-04-20,154.562500,154.968750,153.781250,154.156250,154.156250,224137
2017-04-21,154.281250,154.750000,153.937500,154.156250,154.156250,187229
2017-04-24,153.062500,153.687500,152.562500,153.437500,153.437500,249798
2017-04-25,153.406250,153.531250,152.000000,152.406250,152.406250,193259
2017-04-26,152.218750,152.875000,151.937500,152.656250,152.656250,260869
2017-04-27,152.812500,153.031250,152.218750,152.718750,152.718750,224535
2017-04-28,152.718750,153.062500,151.875000,152.968750,152.968750,278693
2017-05-01,152.968750,153.187500,151.656250,152.000000,152.000000,210249
2017-05-02,152.218750,153.093750,151.812500,152.750000,152.750000,222493
2017-05-03,153.000000,153.218750,152.312500,152.812500,152.812500,332549
2017-05-04,152.562500,152.625000,151.343750,151.718750,151.718750,301401
2017-05-05,151.718750,152.250000,151.437500,151.812500,151.812500,235910
2017-05-08,151.562500,152.406250,151.031250,151.312500,151.312500,242641
2017-05-09,151.125000,151.281250,150.593750,150.750000,150.750000,191744
2017-05-10,150.843750,151.437500,150.406250,150.531250,150.531250,256781
2017-05-11,150.593750,150.875000,150.218750,150.625000,150.625000,278926
2017-05-12,150.781250,151.687500,150.718750,151.437500,151.437500,248326
2017-05-15,151.500000,151.718750,150.968750,151.281250,151.281250,163298
2017-05-16,151.312500,152.093750,150.937500,151.593750,151.593750,237973
2017-05-17,151.625000,153.875000,151.625000,153.781250,153.781250,423076
2017-05-18,153.687500,154.406250,153.187500,153.812500,153.812500,430721
2017-05-19,153.750000,154.156250,153.375000,153.843750,153.843750,245719
2017-05-22,153.937500,154.093750,153.718750,153.781250,153.781250,212949
2017-05-23,153.781250,154.375000,153.156250,153.281250,153.281250,431525
2017-05-24,153.250000,153.968750,153.093750,153.531250,153.531250,418246
2017-05-25,153.750000,154.062500,153.468750,153.843750,153.843750,424099
2017-05-26,153.812500,154.281250,153.781250,153.906250,153.906250,320062
2017-05-30,153.875000,154.781250,153.718750,154.593750,154.593750,348447
2017-05-31,154.687500,155.125000,154.343750,155.125000,155.125000,49637
2017-06-01,154.968750,155.000000,154.437500,154.843750,154.843750,41141
2017-06-02,154.906250,156.531250,154.781250,156.156250,156.156250,23986
